EmployeeID,FullName,Age,Gender,Department,Designation,EducationQualification,MonthlySalary,DateOfJoining,YearsWithCompany,YearsInRole,AppraisalRating,TrainingHours,DoesOvertime,JobSatisfaction,WorkLifeBalance,MaritalStatus,PreviousCompanies,DistanceFromHome,LeavesTaken,City,LeftCompany
EMP20230001,Sahil Tailor,48,Other,HR,Accounts Officer,B.Tech,111813,2020-05-26,5,0,3,37,Yes,4,3,Single,0,12.2,4,Mumbai,No
EMP20230002,Parinaaz Choudhary,26,Female,IT,Accounts Officer,B.Tech,87425,2020-10-02,5,2,3,39,No,2,2,Divorced,0,36.7,29,Kolkata,No
EMP20230003,Anahi Babu,40,Male,IT,Software Engineer,Diploma,86461,2021-05-01,4,4,2,32,No,2,3,Married,1,45.4,0,Bengaluru,Yes
EMP20230004,Dhruv Dass,54,Other,HR,Accounts Officer,Diploma,23720,2023-04-01,2,2,1,21,Yes,4,4,Married,0,29.9,27,Kolkata,No
EMP20230005,Seher Bal,51,Other,Admin,Sales Associate,B.Tech,39041,2018-12-19,7,1,1,30,No,2,2,Single,0,26.8,6,Delhi,Yes
EMP20230006,Priyansh Shenoy,59,Female,IT,Software Engineer,BA,78229,2021-07-14,4,4,4,47,No,2,2,Married,4,23.9,25,Kolkata,No
EMP20230007,Sara Bora,33,Other,HR,Software Engineer,MBA,106353,2020-03-17,5,0,2,23,No,1,1,Divorced,3,18.1,12,Mumbai,Yes
EMP20230008,Sahil Thakur,46,Male,IT,Sales Associate,MBA,48071,2019-12-08,6,0,1,36,No,3,2,Married,0,46.6,18,Kolkata,No
EMP20230009,Aayush Kota,32,Other,Sales,Sales Associate,Diploma,34670,2022-08-06,3,2,5,33,No,3,4,Divorced,2,48.1,24,Chennai,No
EMP20230010,Shamik Dua,32,Male,IT,HR Executive,B.Tech,57228,2022-03-21,3,0,3,46,Yes,2,3,Married,1,34.7,19,Chennai,Yes
EMP20230011,Suhana Vaidya,39,Female,Sales,Sales Associate,MBA,69262,2021-02-21,4,1,3,52,Yes,5,4,Married,0,25.0,11,Kolkata,No
EMP20230012,Jhanvi Butala,57,Female,Accounts,Software Engineer,BA,108728,2021-06-19,4,0,2,1,No,5,3,Single,3,18.9,23,Pune,No
EMP20230013,Vidur Choudhury,24,Other,HR,Software Engineer,M.Com,43656,2020-12-10,5,1,1,29,No,4,4,Divorced,5,35.2,21,Mumbai,No
EMP20230014,Alisha Mandal,22,Other,IT,Office Assistant,M.Com,87000,2017-02-24,8,4,4,55,Yes,5,3,Married,3,4.9,23,Kolkata,No
EMP20230015,Khushi Dayal,33,Other,HR,Software Engineer,Diploma,103459,2022-05-03,3,3,5,0,No,5,4,Divorced,2,25.6,28,Kolkata,No
EMP20230016,Jivin Sankar,36,Male,IT,Office Assistant,Diploma,110079,2016-01-11,9,2,3,17,No,4,2,Married,2,37.7,14,Hyderabad,Yes
EMP20230017,Shaan Baria,31,Male,Sales,Sales Associate,B.Tech,49920,2024-05-31,1,0,1,37,Yes,1,3,Married,0,10.9,12,Mumbai,No
EMP20230018,Aarav Chandran,28,Female,Admin,HR Executive,B.Tech,101350,2021-09-21,4,4,5,32,Yes,1,4,Divorced,3,39.6,14,Pune,No
EMP20230019,Sahil Kala,44,Male,HR,Software Engineer,M.Com,29965,2016-08-16,9,7,5,0,Yes,2,3,Married,0,48.4,9,Pune,Yes
EMP20230020,Jayesh Verma,24,Other,Admin,HR Executive,MBA,118228,2016-01-11,9,2,1,55,Yes,3,2,Single,4,35.6,17,Mumbai,Yes
EMP20230021,Aayush Chanda,55,Male,Accounts,Software Engineer,BA,44677,2020-11-17,5,3,5,18,Yes,2,4,Married,0,31.9,29,Delhi,No
EMP20230022,Vedika Konda,49,Female,IT,HR Executive,B.Tech,17841,2016-09-11,9,1,5,41,Yes,2,2,Married,1,2.5,18,Delhi,Yes
EMP20230023,Zaina Wable,47,Other,Admin,Sales Associate,BA,82546,2016-07-05,9,2,1,20,No,5,2,Married,5,5.7,18,Pune,No
EMP20230024,Aarush Kade,30,Male,Accounts,Software Engineer,Diploma,45458,2018-06-13,7,3,3,47,No,1,4,Divorced,1,5.3,0,Bengaluru,No
EMP20230025,Nishith Bajaj,54,Other,IT,Office Assistant,MBA,44102,2019-12-03,6,1,1,46,No,5,4,Single,5,34.0,12,Pune,Yes
EMP20230026,Nayantara Divan,30,Other,Accounts,Sales Associate,Diploma,88874,2021-08-13,4,2,5,36,No,4,3,Divorced,0,31.0,27,Chennai,No
EMP20230027,Nitya Kari,40,Female,Admin,Software Engineer,Diploma,69284,2019-01-21,6,1,2,41,Yes,4,2,Single,2,40.6,19,Mumbai,No
EMP20230028,Azad Sani,42,Female,Sales,Sales Associate,M.Com,59794,2022-12-08,3,1,1,51,Yes,1,4,Divorced,5,42.9,8,Pune,Yes
EMP20230029,Vritika Hari,30,Other,IT,HR Executive,MBA,46518,2018-11-28,7,2,1,6,Yes,2,4,Divorced,3,13.8,26,Chennai,Yes
EMP20230030,Adah Seth,38,Male,HR,HR Executive,BA,69776,2024-01-22,1,1,2,21,Yes,5,4,Single,5,27.6,8,Chennai,Yes
EMP20230031,Eshani Dhawan,40,Female,IT,Office Assistant,B.Tech,74264,2023-03-10,2,0,1,15,Yes,3,2,Divorced,2,29.8,7,Pune,Yes
EMP20230032,Kimaya Boase,45,Male,Accounts,HR Executive,B.Tech,118567,2023-12-14,2,0,2,29,No,1,2,Married,5,39.9,15,Mumbai,Yes
EMP20230033,Anahi Bobal,47,Other,HR,Sales Associate,BA,53272,2015-10-27,10,4,4,0,Yes,5,2,Divorced,1,5.6,14,Bengaluru,No
